gamePk,gameDate,home_id,away_id,home_name,away_name,home_score,away_score,home_win,total_runs
823472,2026-04-30T16:35:00Z,143,137,Philadelphia Phillies,San Francisco Giants,3,2,1,5
823471,2026-04-30T21:35:00Z,143,137,Philadelphia Phillies,San Francisco Giants,6,5,1,11
824524,2026-04-30T16:40:00Z,113,115,Cincinnati Reds,Colorado Rockies,6,4,1,10
823634,2026-04-30T17:10:00Z,121,120,New York Mets,Washington Nationals,4,5,0,9
823795,2026-04-30T17:40:00Z,158,109,Milwaukee Brewers,Arizona Diamondbacks,13,1,1,14
825016,2026-04-30T19:05:00Z,133,118,Athletics,Kansas City Royals,6,3,1,9
823714,2026-04-30T23:40:00Z,142,141,Minnesota Twins,Toronto Blue Jays,7,1,1,8
824686,2026-05-01T18:20:00Z,112,109,Chicago Cubs,Arizona Diamondbacks,6,5,1,11
824287,2026-05-01T22:40:00Z,116,140,Detroit Tigers,Texas Rangers,4,5,0,9
823389,2026-05-01T22:45:00Z,134,113,Pittsburgh Pirates,Cincinnati Reds,9,1,1,10
822744,2026-05-01T22:45:00Z,120,158,Washington Nationals,Milwaukee Brewers,1,6,0,7
823557,2026-05-01T23:05:00Z,147,110,New York Yankees,Baltimore Orioles,7,2,1,9
824772,2026-05-01T23:10:00Z,111,117,Boston Red Sox,Houston Astros,3,1,1,4
822990,2026-05-01T23:10:00Z,139,137,Tampa Bay Rays,San Francisco Giants,3,0,1,3
823877,2026-05-01T23:10:00Z,146,143,Miami Marlins,Philadelphia Phillies,5,6,0,11
823713,2026-05-02T00:10:00Z,142,141,Minnesota Twins,Toronto Blue Jays,3,7,0,10
823066,2026-05-02T00:15:00Z,138,119,St. Louis Cardinals,Los Angeles Dodgers,7,2,1,9
824366,2026-05-02T00:40:00Z,115,144,Colorado Rockies,Atlanta Braves,6,8,0,14
824041,2026-05-02T01:38:00Z,108,121,Los Angeles Angels,New York Mets,3,4,0,7
825012,2026-05-02T01:40:00Z,133,114,Athletics,Cleveland Guardians,5,8,0,13
823309,2026-05-02T01:40:00Z,135,145,San Diego Padres,Chicago White Sox,2,8,0,10
823146,2026-05-02T01:45:00Z,136,118,Seattle Mariners,Kansas City Royals,6,7,0,13
823554,2026-05-02T17:35:00Z,147,110,New York Yankees,Baltimore Orioles,9,4,1,13
823715,2026-05-02T18:10:00Z,142,141,Minnesota Twins,Toronto Blue Jays,4,11,0,15
824685,2026-05-02T18:20:00Z,112,109,Chicago Cubs,Arizona Diamondbacks,2,0,1,2
825014,2026-05-02T20:05:00Z,133,114,Athletics,Cleveland Guardians,6,14,0,20
823388,2026-05-02T20:05:00Z,134,113,Pittsburgh Pirates,Cincinnati Reds,17,7,1,24
822746,2026-05-02T20:05:00Z,120,158,Washington Nationals,Milwaukee Brewers,1,4,0,5
824771,2026-05-02T20:10:00Z,111,117,Boston Red Sox,Houston Astros,3,6,0,9
823876,2026-05-02T20:10:00Z,146,143,Miami Marlins,Philadelphia Phillies,4,0,1,4
